Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;
Total;20607272;20805607;21006793;21206883;21407763;21614159;21813699;22006254;22199331;22388135;22572327;22751542;22925220;23092856;23254217;23409215;23557726;23699601;23834769;23963191;24084837;24199881;24308429;24410466;24505982;24594967;24677360;24753073;24822171;24884680;24940624;24990043;25033036;25069746;25100231;25124489;25142542;25154494;25160421;25160338;25154242;25142132;25124074;25100123;25070313;25034642;24993133;24945927;24893155;24834941;24771413;
0-4;1518720;1516267;1523626;1531569;1540814;1557369;1565792;1565422;1567609;1565681;1554575;1546271;1540372;1528919;1516434;1503166;1489400;1475542;1461969;1448846;1436274;1424291;1412875;1402069;1391891;1382277;1373160;1364507;1356311;1348513;1341039;1333879;1327114;1320765;1314752;1308984;1303393;1297895;1292368;1286742;1280920;1274838;1268461;1261721;1254596;1247114;1239304;1231221;1222909;1214420;1205859;
5-9;1599000;1570213;1550739;1538164;1527670;1516698;1514348;1521795;1529819;1539132;1555741;1564228;1563935;1566180;1564317;1553278;1545023;1539179;1527782;1515347;1502128;1488408;1474590;1461049;1447947;1435406;1423449;1412060;1401288;1391146;1381565;1372475;1363842;1355661;1347884;1340424;1333281;1326531;1320194;1314188;1308427;1302842;1297364;1291861;1286254;1280442;1274367;1267998;1261263;1254149;1246678;
10-14;1710367;1704441;1679458;1646265;1615989;1593194;1564572;1545246;1532810;1522446;1511593;1509358;1516907;1525031;1534439;1551133;1559711;1559502;1561842;1560072;1549120;1540955;1535177;1523830;1511432;1498245;1484555;1470754;1457226;1444137;1431616;1419686;1408323;1397570;1387437;1377860;1368774;1360147;1351969;1344204;1336758;1329628;1322885;1316557;1310561;1304809;1299238;1293769;1288270;1282662;1276855;
15-19;1689753;1683479;1690928;1705126;1714546;1712034;1706193;1681324;1648260;1618106;1595401;1566874;1547597;1535178;1524827;1513989;1511740;1519241;1527312;1536667;1553290;1561822;1561628;1563995;1562274;1551399;1543286;1537545;1526247;1513901;1500760;1487114;1473360;1459879;1446841;1434360;1422461;1411130;1400402;1390288;1380740;1371685;1363087;1354937;1347193;1339764;1332658;1325931;1319617;1313635;1307889;
20-24;1859731;1839301;1808492;1773698;1744474;1726517;1719923;1726938;1740636;1749558;1746584;1740281;1715018;1681581;1651014;1627848;1598876;1579091;1566121;1555209;1543809;1541064;1548226;1556112;1565390;1581999;1590567;1590437;1592865;1591205;1580416;1572378;1566699;1555479;1543213;1530151;1516583;1502905;1489500;1476524;1464105;1452268;1440987;1430314;1420255;1410754;1401732;1393169;1385058;1377360;1369968;
25-29;1906623;1920447;1927313;1927198;1920265;1907224;1886477;1855385;1820287;1790669;1772220;1765040;1771366;1784322;1792511;1788850;1781848;1755957;1721917;1690723;1666878;1637314;1617043;1603726;1592641;1581274;1578636;1585858;1593788;1603108;1619719;1628314;1628246;1630715;1629111;1618413;1610448;1604830;1593691;1581507;1568525;1555035;1541438;1528099;1515189;1502839;1491067;1479846;1469225;1459207;1449754;
30-34;1764601;1801518;1837738;1871215;1899281;1920219;1934078;1940992;1940947;1934105;1921154;1900507;1869540;1834553;1804988;1786501;1779194;1785287;1797955;1805867;1801967;1794753;1768784;1734771;1703675;1680003;1650702;1630627;1617465;1606512;1595275;1592729;1599993;1607963;1617309;1633912;1642523;1642507;1645010;1643458;1632846;1624951;1619387;1608320;1596207;1583302;1569882;1556350;1543083;1530244;1517958;
35-39;1569961;1598766;1633665;1672642;1712452;1750726;1787939;1824440;1858191;1886550;1907817;1922035;1929336;1929699;1923287;1910779;1890591;1860120;1825626;1796496;1778337;1771254;1777478;1790222;1798230;1794514;1787514;1761840;1728149;1697352;1673931;1644900;1625030;1612023;1601213;1590122;1587673;1594974;1602968;1612318;1628894;1637513;1637537;1640067;1638560;1628038;1620218;1614708;1603718;1591688;1578868;
40-44;1463518;1478424;1490951;1503691;1520614;1544029;1573367;1608682;1647992;1688105;1726673;1764170;1800956;1834995;1863666;1885285;1899907;1907663;1908531;1902651;1890686;1871060;1841192;1807303;1778701;1760967;1754199;1760599;1773439;1781555;1778022;1771219;1745865;1712552;1682112;1658986;1630281;1610645;1597815;1587164;1576236;1573885;1581197;1589186;1598528;1615040;1623634;1623690;1626238;1624774;1614358;
45-49;1326333;1347863;1369879;1391592;1411637;1429384;1445125;1458490;1472021;1489613;1513550;1543269;1578820;1618266;1658478;1697161;1734764;1771646;1805803;1834639;1856487;1871415;1879550;1880847;1875439;1863962;1844881;1815671;1782478;1754506;1737261;1730832;1737381;1750249;1758417;1755050;1748454;1723500;1690675;1660692;1637943;1609685;1590358;1577749;1567299;1556568;1554315;1561613;1569569;1578854;1595241;
