Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;
Total;21691634;21901776;22113048;22321825;22529992;22742145;22946606;23143349;23339605;23530914;23717006;23897590;24072208;24240432;24402078;24557077;24705389;24846915;24981562;25109313;25230209;25344421;25452034;25553023;25647404;25735140;25816132;25890293;25957653;26018219;26072021;26119108;26159550;26193440;26220846;26241812;26256346;26264527;26266462;26262200;26251736;26235134;26212552;26184064;26149702;26109511;26063586;26012087;25955155;25892899;25825409;
0-4;1450034;1447832;1454927;1462512;1471275;1486956;1494878;1494426;1496408;1494472;1483786;1475765;1470050;1459047;1447063;1434330;1421125;1407840;1394833;1382250;1370197;1358714;1347788;1337450;1327705;1318506;1309778;1301496;1293654;1286191;1279040;1272188;1265717;1259641;1253890;1248369;1243028;1237776;1232498;1227119;1221545;1215730;1209643;1203210;1196408;1189265;1181810;1174094;1166161;1158063;1149896;
5-9;1527834;1500202;1481547;1469565;1459629;1449264;1447108;1454236;1461858;1470654;1486357;1494314;1493902;1495909;1494007;1483363;1475373;1469679;1458701;1446747;1434045;1420859;1407579;1394585;1382025;1369999;1358551;1347648;1337326;1327604;1318432;1309735;1301477;1293653;1286210;1279076;1272234;1265780;1259718;1253977;1248471;1243139;1237898;1232637;1227278;1221720;1215917;1209836;1203409;1196614;1189481;
10-14;1658952;1647304;1617976;1581515;1548775;1524230;1496698;1478140;1466234;1456372;1446086;1444004;1451196;1458882;1467735;1483488;1491502;1491152;1493214;1491365;1480781;1472849;1467206;1456264;1444340;1431665;1418504;1405245;1392267;1379721;1367711;1356279;1345391;1335084;1325378;1316213;1307522;1299273;1291461;1284030;1276905;1270068;1263617;1257560;1251825;1246329;1241008;1235774;1230515;1225158;1219608;
15-19;1658279;1652072;1657484;1668086;1673351;1666803;1655072;1625671;1589144;1556339;1531720;1504113;1485462;1473455;1463484;1453093;1450894;1457955;1465504;1474219;1489826;1497739;1497341;1499393;1497564;1487020;1479107;1473491;1462584;1450683;1438026;1424889;1411661;1398713;1386188;1374191;1362772;1351904;1341616;1331925;1322776;1314102;1305871;1298073;1290656;1283541;1276711;1270264;1264212;1258480;1252988;
20-24;1826537;1801564;1770788;1738902;1712724;1696223;1689483;1694333;1704351;1709039;1701929;1689640;1659704;1622654;1589312;1564131;1535966;1516741;1504146;1493579;1482599;1479890;1486592;1493916;1502520;1518105;1526031;1525656;1527734;1525931;1515420;1507544;1501953;1491068;1479197;1466577;1453470;1440263;1427337;1414832;1402866;1391474;1380627;1370358;1360684;1351551;1342895;1334679;1326892;1319495;1312394;
25-29;1933780;1934924;1927508;1913043;1893956;1872284;1846690;1815308;1782818;1756016;1738870;1731463;1735608;1744905;1748878;1741071;1728095;1697497;1659782;1625763;1599890;1571103;1551373;1538410;1527630;1516597;1513920;1520638;1527986;1536609;1552197;1560143;1559796;1561889;1560115;1549643;1541789;1536222;1525363;1513520;1500926;1487849;1474665;1461766;1449291;1437358;1425986;1415157;1404902;1395240;1386123;
30-34;1839340;1870749;1899704;1924249;1941900;1951207;1952151;1944546;1929910;1910653;1888809;1863050;1831508;1798833;1771832;1754454;1746792;1750657;1759666;1763359;1755281;1742042;1711253;1673416;1639351;1613516;1584833;1565177;1552271;1541545;1530571;1527934;1534677;1542048;1550679;1566273;1574236;1573906;1576020;1574273;1563829;1556006;1550473;1539648;1527837;1515273;1502233;1489085;1476222;1463773;1451855;
35-39;1656685;1687105;1722949;1761761;1799735;1834142;1865594;1894604;1919218;1936954;1946363;1947435;1939983;1925510;1906413;1884739;1859146;1827771;1795266;1768420;1751167;1743590;1747496;1756531;1760261;1752250;1739100;1708448;1670768;1636847;1611135;1582580;1563016;1550184;1539525;1528617;1526025;1532786;1540171;1548817;1564409;1572374;1572070;1574210;1572483;1562090;1554311;1548801;1538015;1526252;1513734;
40-44;1556962;1570665;1584240;1599497;1619045;1644290;1674825;1710736;1749589;1787608;1822081;1853619;1882719;1907433;1925301;1934875;1936141;1928923;1914706;1895875;1874476;1849157;1818076;1785852;1759244;1742187;1734757;1738744;1747825;1751607;1743692;1730667;1700205;1662728;1629002;1603458;1575078;1555637;1542898;1532323;1521505;1518974;1525754;1533151;1541800;1557359;1565320;1565042;1567196;1565502;1555174;
